carriers,locs,techs,timesteps,carrier_prod
electricity,X3,pv,2005-07-01 18:00:00,2.890000085
electricity,X3,pv,2005-07-01 19:00:00,0.0
electricity,X3,pv,2005-07-01 20:00:00,0.0
electricity,X3,pv,2005-07-01 21:00:00,0.0
electricity,X3,pv,2005-07-01 22:00:00,0.0
electricity,X3,pv,2005-07-01 23:00:00,0.0
electricity,X3,pv,2005-07-02 00:00:00,0.0
electricity,X3,pv,2005-07-02 01:00:00,0.0
electricity,X3,pv,2005-07-02 02:00:00,0.0
electricity,X3,pv,2005-07-02 03:00:00,0.0
electricity,X3,pv,2005-07-02 04:00:00,0.0
electricity,X3,pv,2005-07-02 05:00:00,2.4224999575
electricity,X3,pv,2005-07-02 06:00:00,8.542500085
electricity,X3,pv,2005-07-02 07:00:00,14.4500001275
electricity,X3,pv,2005-07-02 08:00:00,20.2724999575
electricity,X3,pv,2005-07-02 09:00:00,26.8174999575
electricity,X3,pv,2005-07-02 10:00:00,32.0025001275
electricity,X3,pv,2005-07-02 11:00:00,33.107499915
electricity,X3,pv,2005-07-02 12:00:00,30.6000000425
electricity,X3,pv,2005-07-02 13:00:00,24.310000085
electricity,X3,pv,2005-07-02 14:00:00,17.2125000425
electricity,X3,pv,2005-07-02 15:00:00,12.2399999575
electricity,X3,pv,2005-07-02 16:00:00,8.0325
electricity,X3,pv,2005-07-02 17:00:00,4.377500085
electricity,X3,pv,2005-07-02 18:00:00,1.8274999575
electricity,X3,pv,2005-07-02 19:00:00,0.2550000425
electricity,X3,pv,2005-07-02 20:00:00,0.0
electricity,X3,pv,2005-07-02 21:00:00,0.0
electricity,X3,pv,2005-07-02 22:00:00,0.0
electricity,X3,pv,2005-07-02 23:00:00,0.0
gas,X1,supply_gas,2005-07-01 00:00:00,286.609135905719
gas,X1,supply_gas,2005-07-01 01:00:00,242.179927709347
gas,X1,supply_gas,2005-07-01 02:00:00,243.446933099269
gas,X1,supply_gas,2005-07-01 03:00:00,243.44866358322
gas,X1,supply_gas,2005-07-01 04:00:00,256.804462918115
gas,X1,supply_gas,2005-07-01 05:00:00,445.86764368128
gas,X1,supply_gas,2005-07-01 06:00:00,546.364342818947
gas,X1,supply_gas,2005-07-01 07:00:00,644.31283483665
gas,X1,supply_gas,2005-07-01 08:00:00,644.31283483665
gas,X1,supply_gas,2005-07-01 09:00:00,644.31283483665
gas,X1,supply_gas,2005-07-01 10:00:00,542.348839485501
gas,X1,supply_gas,2005-07-01 11:00:00,540.192042401517
